year,month,gainer,gaintype,procedur,entity,contgain,area,pop,portion,loser,losetype,contlose,entry,exit,number,indep,conflict,version,agreement,dyad,rivnumb,rivalry,totdisp,rivtyp2,rivtypold,ps,rivals,begin,conttype,col.conttype,any.cont,cap_gainer,pop_gainer,cap_loser,pop_loser,caprat,polity.gainer,polity.loser,joint.dem,settle,new.border.settle1,new.border.settle5,tenure.loser,tenure.gainer,simul.transfers,prev.transfers,flow1,flow2,flow1.lag1,flow2.lag1,flow1.lead1,flow2.lead1,gainer_loser_lead3,loser_gainer_lead3,gainer_loser_lead5,loser_gainer_lead5,gainer_loser_lag3,loser_gainer_lag3,gainer_loser_lag5,loser_gainer_lag5,agg_lead3,agg_lead5,agg_lag3,agg_lag5,kmdist,gdp.loser,gdp.gainer,agg_pop,agg_gdp,fta,gatt1,gatt2,comlang,comcol,colony,curcol,currencyu,joint.gatt.any,joint.gatt.formal
1945.0,9,2.0,0,3,741,0,2354.0,869287,1,740.0,1,1,0,0,591,0,1,4.01,1.0,2740.0,108,2740,4,RIVALRY,PROTO,0.5,1.0,NA,0.0,0.0,0.0,0.3838635,139928e3,0.0528761,72147e3,0.13774714188767623,10.0,NA,NA,NA,0.0,0.0,0.0,0.0,1,0.0,NA,NA,NA,NA,255.0,768.3,791.6333333333333,280.0,843.24,382.2,NA,NA,NA,NA,1071.6333333333332,1225.44,NA,NA,10960,167141.69737809285,2819630.7005811823,212075e3,2986772.397959275,NA,NA,NA,0.0,0.0,0.0,NA,NA,NA,NA
1947.0,4,2.0,0,6,980,0,1779.0,47000,1,740.0,0,0,0,0,611,0,0,4.01,0.0,2740.0,NA,NA,NA,NA,NA,0.5,0.0,NA,0.0,0.0,0.0,0.3099419,144126e3,NA,NA,NA,10.0,NA,NA,NA,NA,NA,2.0,2.0,1,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10960,NA,2204089.5638176952,NA,NA,NA,NA,NA,0.0,0.0,0.0,NA,NA,NA,NA
1953.0,12,740.0,1,3,741,1,1e3,NA,0,2.0,0,0,0,0,655,0,0,4.01,1.0,2740.0,NA,NA,NA,NA,NA,0.5,0.0,NA,0.0,3.0,1.0,0.0302281,86695e3,0.3111584,160184e3,10.293680383484242,10.0,10.0,1.0,NA,0.0,0.0,0.0,1.0,1,2.0,284.0,757.5,255.0,768.3,301.0,849.1,457.3333333333333,896.8,552.02,1074.8600000000001,NA,NA,NA,NA,1354.1333333333332,1626.88,NA,NA,10960,2654125.0,338400.03125,246879e3,2992525.03125,0.0,orig,prov,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1968.0,6,740.0,1,3,NA,0,100.0,NA,0,2.0,0,0,0,0,756,0,0,4.01,1.0,2740.0,NA,NA,NA,NA,NA,0.5,0.0,NA,0.0,3.0,1.0,0.0492219,101011e3,0.2039257,200706e3,4.142987166281675,10.0,10.0,1.0,NA,0.0,0.0,5.0,4.0,1,3.0,4318.5,3528.6,3213.1,3212.7,5206.3,4094.1,6395.333333333333,4886.9,7813.62,5980.66,3017.5333333333333,2745.333333333333,2518.84,2530.3199999999997,11282.233333333334,13794.279999999999,5762.866666666667,5060.639999999999,10960,4715990.0,1231912.25,301717e3,5947902.25,0.0,orig,art33,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1972.0,5,740.0,1,3,741,1,848.0,934176,1,2.0,0,0,0,0,780,0,0,4.01,1.0,2740.0,NA,NA,NA,NA,NA,0.5,0.0,NA,0.0,5.0,1.0,0.0533882,107188e3,0.1632864,209896e3,3.058473595288847,10.0,10.0,1.0,NA,0.0,0.0,3.0,0.0,1,4.0,9618.3,5951.1,7723.4,5002.3,10263.8,9291.5,11981.5,11196.766666666666,14615.1,11587.02,6395.333333333333,4886.9,5343.52,4280.4,23178.266666666666,26202.120000000003,11282.233333333334,8560.8,10960,5298624.5,1726426.75,317084e3,7025051.25,0.0,orig,art33,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1899.0,12,2.0,0,3,991,0,195.0,4000,0,990.0,1,1,0,0,378,0,0,4.01,1.0,2990.0,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,0.0,0.0,0.1854763,74799e3,NA,NA,NA,10.0,NA,NA,NA,NA,NA,NA,2.0,1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12723,NA,521528.75049195124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960.0,11,91.0,1,3,93,1,20720.0,NA,0,93.0,1,1,0,0,688,0,0,4.01,1.0,9193.0,10220,91093,22,RIVALRY,ENDURING,0.0,1.0,NA,0.0,0.0,0.0,1.976e-4,1943e3,2.055e-4,1411e3,1.0399797570850202,-1.0,-8.0,0.0,0.0,0.0,0.0,4.0,3.0,1,0.0,0.1,0.1,0.3,1.1,0.1,0.1,0.23333333333333334,0.23333333333333334,0.64,0.88,0.4666666666666667,0.13333333333333333,0.32,0.146,0.4666666666666667,1.52,0.6,0.292,247,6357023.55654,4950.83935546875,3354e3,6361974.395895469,0.0,out,art33,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1921.0,8,94.0,1,2,95,1,1.0,100,0,95.0,1,1,0,0,528,0,0,4.01,0.0,9495.0,246,94095,1,ISOLATED,ISOLATED,0.5,1.0,NA,0.0,0.0,0.0,8.51e-5,43e4,7.05e-5,45e4,0.828437132784959,10.0,-3.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0,0.27,0.14,0.23,0.19,0.2,0.15,0.16,0.35333333333333333,NA,NA,NA,NA,NA,NA,0.5133333333333333,NA,NA,NA,523,NA,1149.628,88e4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948.0,7,20.0,1,5,21,1,404519.0,324000,1,200.0,0,0,0,0,628,0,0,4.01,0.0,20200.0,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,1.0,1.0,0.0125928,13167e3,0.075426000000000007,50026e3,5.989613112254623,10.0,10.0,1.0,NA,0.0,0.0,3.0,0.0,1,0.0,338.0,874.3,NA,NA,331.4,821.0,684.9666666666667,393.3,761.1,418.34,NA,NA,NA,NA,1078.2666666666667,1179.44,NA,NA,5401,580763.8130294728,160103.1203152962,63193e3,740866.9333447691,0.0,orig,orig,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1933.0,12,200.0,0,3,21,0,404519.0,289516,1,21.0,1,NA,0,0,563,0,0,4.01,1.0,21200.0,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,0.0,0.0,0.0794872,4652e4,NA,NA,NA,10.0,NA,NA,NA,NA,NA,NA,4.0,1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,422518.36275399994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861.0,12,230.0,0,2,42,0,48734.0,200000,1,42.0,1,NA,0,0,155,0,0,4.01,0.0,42230.0,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,0.0,0.0,0.019012,157e5,NA,NA,NA,-6.0,0.0,0.0,NA,NA,NA,NA,NA,1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6700,NA,33725.14309828651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1897.0,NA,70.0,1,1,960,0,5.0,0,0,220.0,0,0,0,0,360,0,0,4.01,0.0,70220.0,NA,NA,NA,NA,NA,0.5,0.0,NA,0.0,0.0,0.0,0.0049481,13014e3,0.0869356,387e5,17.569491319900568,-9.0,7.0,0.0,NA,0.0,0.0,1.0,21.0,1,0.0,2.79,2.73,2.58,0.96,2.81,2.97,2.4333333333333336,4.14,2.0180000000000002,3.7079999999999997,NA,NA,NA,NA,6.573333333333333,5.726,NA,NA,9217,175781.0670283806,NA,51714e3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932.0,NA,220.0,0,3,960,0,5.0,0,0,70.0,1,0,0,0,560,0,0,4.01,1.0,70220.0,NA,NA,NA,NA,NA,0.5,0.0,NA,0.0,0.0,0.0,0.0689378,4186e4,0.0061992,1717e4,0.08992454067289644,10.0,-6.0,0.0,NA,0.0,0.0,0.0,0.0,1,1.0,3.18,1.78,4.11,6.13,4.63,4.49,4.7299999999999995,4.64,4.896,4.846,NA,NA,NA,NA,9.37,9.742,NA,NA,9217,40557.158554806076,285219.407643,5903e4,325776.5661978061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859.0,11,91.0,1,3,91,1,33701.0,NA,0,200.0,0,0,0,0,133,0,0,4.01,1.0,91200.0,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,0.0,0.0,NA,NA,0.2904985,28591e3,NA,0.0,3.0,0.0,NA,NA,NA,NA,NA,1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8609,137286.7235172366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860.0,1,93.0,1,3,93,1,21367.0,NA,0,200.0,0,0,0,0,139,0,0,4.01,1.0,93200.0,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,0.0,0.0,NA,NA,0.2764456,28778e3,NA,-5.0,3.0,0.0,NA,NA,NA,NA,NA,1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8710,140173.16708944892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922.0,3,100.0,1,3,101,1,1.0,100,0,101.0,1,1,0,0,536,0,0,4.01,1.0,100101.0,NA,NA,NA,NA,NA,0.25,0.0,1841.0,1.0,0.0,1.0,0.0012856,637e4,7.665e-4,287e4,0.5962196639701307,-5.0,-9.0,0.0,0.0,0.0,0.0,14.0,0.0,1,0.0,0.28,0.01,0.31,0.01,0.25,0.01,9.446666666666667,0.36333333333333334,6.636,0.47800000000000004,NA,NA,NA,NA,9.81,7.114,NA,NA,991,6127.909390411565,12732.068292666472,924e4,18859.97768307804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1832.0,12,100.0,1,3,130,1,140976.0,276249,0,130.0,1,1,0,0,67,0,0,4.01,1.0,100130.0,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,0.0,0.0,0.0014049,1595e3,NA,NA,NA,2.0,-1.0,0.0,NA,NA,NA,NA,NA,1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934.0,12,100.0,1,3,135,1,113882.0,40000,0,135.0,1,1,0,0,565,0,0,4.01,1.0,100135.0,10261,100135,7,RIVALRY,ENDURING,0.5,1.0,1916.0,1.0,0.0,1.0,0.0020626,803e4,0.0013683,604e4,0.6633860176476293,5.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1880,18090.50669859733,21082.801450105162,1407e4,39173.30814870249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1907.0,4,140.0,1,3,100,1,162500.0,NA,0,100.0,1,1,0,0,419,0,0,4.01,1.0,100140.0,NA,NA,NA,NA,NA,0.5,0.0,1831.0,1.0,0.0,1.0,0.0108436,2086e4,0.0013125,441e4,0.12103913829355566,-3.0,-5.0,0.0,0.0,0.0,0.0,3.0,1.0,1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3651,5330.440551671867,27112.633999999995,2527e4,32443.07455167186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1821.0,6,100.0,1,1,101,1,1082207.0,800000,1,230.0,0,0,0,0,41,0,1,4.01,0.0,100230.0,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,0.0,0.0,NA,NA,0.0342722,11498e3,NA,NA,-4.0,0.0,NA,NA,NA,NA,NA,1,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
